cliente_id,nombre,ciudad,provincia,segmento,fecha_alta
1,Cliente 1,Pinamar,Buenos Aires,VIP,2026-07-28
2,Cliente 2,Pinamar,Buenos Aires,Nuevo,2025-12-15
3,Cliente 3,CABA,CABA,VIP,2024-07-29
4,Cliente 4,Mar del Plata,Buenos Aires,Recurrente,2024-07-25
5,Cliente 5,Tandil,Buenos Aires,VIP,2024-12-26
6,Cliente 6,Bahia Blanca,Buenos Aires,VIP,2026-07-23
7,Cliente 7,Mar del Plata,Buenos Aires,VIP,2025-12-27
8,Cliente 8,Tandil,Buenos Aires,Recurrente,2026-07-26
9,Cliente 9,Tandil,Buenos Aires,VIP,2024-08-19
10,Cliente 10,Pinamar,Buenos Aires,Recurrente,2025-02-10
11,Cliente 11,Bahia Blanca,Buenos Aires,VIP,2025-05-20
12,Cliente 12,Tandil,Buenos Aires,Nuevo,2026-08-16
13,Cliente 13,Necochea,Buenos Aires,VIP,2024-09-07
14,Cliente 14,Bahia Blanca,Buenos Aires,Nuevo,2025-11-11
15,Cliente 15,CABA,CABA,VIP,2024-07-02
16,Cliente 16,La Plata,Buenos Aires,VIP,2026-05-20
17,Cliente 17,Bahia Blanca,Buenos Aires,VIP,2025-08-20
18,Cliente 18,Necochea,Buenos Aires,Nuevo,2024-12-12
19,Cliente 19,La Plata,Buenos Aires,VIP,2024-08-05
20,Cliente 20,Bahia Blanca,Buenos Aires,Recurrente,2026-04-17
21,Cliente 21,Bahia Blanca,Buenos Aires,VIP,2025-02-03
22,Cliente 22,La Plata,Buenos Aires,Recurrente,2024-11-27
23,Cliente 23,Necochea,Buenos Aires,Nuevo,2025-01-08
24,Cliente 24,CABA,CABA,Recurrente,2026-06-12
25,Cliente 25,Mar del Plata,Buenos Aires,Recurrente,2026-01-01
26,Cliente 26,Necochea,Buenos Aires,Nuevo,2026-06-02
27,Cliente 27,Necochea,Buenos Aires,VIP,2026-05-11
28,Cliente 28,Bahia Blanca,Buenos Aires,Nuevo,2025-05-15
29,Cliente 29,Pinamar,Buenos Aires,Nuevo,2026-03-09
30,Cliente 30,La Plata,Buenos Aires,Nuevo,2026-01-20
31,Cliente 31,Pinamar,Buenos Aires,Nuevo,2024-09-03
32,Cliente 32,Pinamar,Buenos Aires,Recurrente,2026-06-10
33,Cliente 33,Tandil,Buenos Aires,Recurrente,2026-02-28
34,Cliente 34,Tandil,Buenos Aires,Recurrente,2025-12-15
35,Cliente 35,CABA,CABA,Nuevo,2025-07-30
36,Cliente 36,La Plata,Buenos Aires,Recurrente,2024-09-17
37,Cliente 37,Tandil,Buenos Aires,VIP,2024-09-20
38,Cliente 38,La Plata,Buenos Aires,VIP,2025-12-31
39,Cliente 39,Necochea,Buenos Aires,VIP,2025-10-03
40,Cliente 40,Bahia Blanca,Buenos Aires,Nuevo,2026-06-16
41,Cliente 41,CABA,CABA,Recurrente,2024-08-17
42,Cliente 42,La Plata,Buenos Aires,VIP,2024-10-20
43,Cliente 43,Bahia Blanca,Buenos Aires,Nuevo,2024-11-02
44,Cliente 44,Bahia Blanca,Buenos Aires,VIP,2025-11-24
45,Cliente 45,CABA,CABA,VIP,2024-07-21
46,Cliente 46,Tandil,Buenos Aires,Recurrente,2025-11-26
47,Cliente 47,Pinamar,Buenos Aires,Recurrente,2025-06-10
48,Cliente 48,Tandil,Buenos Aires,Nuevo,2025-08-17
49,Cliente 49,CABA,CABA,VIP,2025-03-19
50,Cliente 50,Bahia Blanca,Buenos Aires,VIP,2024-07-10
51,Cliente 51,Mar del Plata,Buenos Aires,VIP,2026-03-19
52,Cliente 52,Pinamar,Buenos Aires,VIP,2024-09-25
53,Cliente 53,Bahia Blanca,Buenos Aires,Recurrente,2026-06-18
54,Cliente 54,Bahia Blanca,Buenos Aires,Nuevo,2024-12-20
55,Cliente 55,Bahia Blanca,Buenos Aires,Recurrente,2025-12-08
56,Cliente 56,Tandil,Buenos Aires,VIP,2024-09-25
57,Cliente 57,Pinamar,Buenos Aires,VIP,2024-09-23
58,Cliente 58,Tandil,Buenos Aires,Nuevo,2024-06-26
59,Cliente 59,Pinamar,Buenos Aires,Nuevo,2026-04-30
60,Cliente 60,La Plata,Buenos Aires,Nuevo,2026-03-14
61,Cliente 61,Bahia Blanca,Buenos Aires,VIP,2024-08-13
62,Cliente 62,Pinamar,Buenos Aires,Nuevo,2025-03-28
63,Cliente 63,Necochea,Buenos Aires,VIP,2025-03-21
64,Cliente 64,Mar del Plata,Buenos Aires,Recurrente,2025-10-21
65,Cliente 65,Necochea,Buenos Aires,Recurrente,2025-03-21
66,Cliente 66,Tandil,Buenos Aires,VIP,2026-03-19
67,Cliente 67,La Plata,Buenos Aires,VIP,2025-02-16
68,Cliente 68,Necochea,Buenos Aires,Recurrente,2026-08-22
69,Cliente 69,Tandil,Buenos Aires,Nuevo,2025-04-09
70,Cliente 70,Mar del Plata,Buenos Aires,VIP,2025-08-16
71,Cliente 71,Necochea,Buenos Aires,Nuevo,2025-12-20
72,Cliente 72,Mar del Plata,Buenos Aires,VIP,2025-01-19
73,Cliente 73,Mar del Plata,Buenos Aires,VIP,2024-08-03
74,Cliente 74,Bahia Blanca,Buenos Aires,VIP,2024-07-05
75,Cliente 75,Tandil,Buenos Aires,VIP,2026-04-13
76,Cliente 76,Pinamar,Buenos Aires,Nuevo,2025-02-06
77,Cliente 77,CABA,CABA,Nuevo,2025-02-28
78,Cliente 78,Necochea,Buenos Aires,Recurrente,2025-06-15
79,Cliente 79,CABA,CABA,Recurrente,2024-07-10
80,Cliente 80,Pinamar,Buenos Aires,Recurrente,2026-01-29
81,Cliente 81,Pinamar,Buenos Aires,Nuevo,2025-07-10
82,Cliente 82,Pinamar,Buenos Aires,Recurrente,2025-08-05
83,Cliente 83,Bahia Blanca,Buenos Aires,Recurrente,2025-05-17
84,Cliente 84,Mar del Plata,Buenos Aires,VIP,2026-01-04
85,Cliente 85,Mar del Plata,Buenos Aires,Nuevo,2026-08-01
86,Cliente 86,Tandil,Buenos Aires,Recurrente,2025-12-30
87,Cliente 87,Tandil,Buenos Aires,VIP,2026-08-15
88,Cliente 88,Mar del Plata,Buenos Aires,Recurrente,2024-11-14
89,Cliente 89,Mar del Plata,Buenos Aires,VIP,2026-06-14
90,Cliente 90,Mar del Plata,Buenos Aires,Nuevo,2026-06-11
91,Cliente 91,Tandil,Buenos Aires,VIP,2025-11-10
92,Cliente 92,Pinamar,Buenos Aires,Nuevo,2026-01-15
93,Cliente 93,Tandil,Buenos Aires,VIP,2024-08-12
94,Cliente 94,Tandil,Buenos Aires,Recurrente,2025-04-25
95,Cliente 95,CABA,CABA,Nuevo,2025-07-02
96,Cliente 96,CABA,CABA,VIP,2026-05-15
97,Cliente 97,Pinamar,Buenos Aires,Nuevo,2025-08-25
98,Cliente 98,Bahia Blanca,Buenos Aires,Nuevo,2025-05-01
99,Cliente 99,Necochea,Buenos Aires,Recurrente,2026-06-28
100,Cliente 100,Pinamar,Buenos Aires,Recurrente,2024-10-30
101,Cliente 101,Mar del Plata,Buenos Aires,VIP,2025-07-06
102,Cliente 102,Pinamar,Buenos Aires,Nuevo,2026-05-03
103,Cliente 103,CABA,CABA,VIP,2026-02-09
104,Cliente 104,Tandil,Buenos Aires,Nuevo,2026-04-01
105,Cliente 105,Bahia Blanca,Buenos Aires,VIP,2025-11-10
106,Cliente 106,Bahia Blanca,Buenos Aires,VIP,2026-06-06
107,Cliente 107,Bahia Blanca,Buenos Aires,Recurrente,2026-05-14
108,Cliente 108,Mar del Plata,Buenos Aires,Recurrente,2025-02-15
109,Cliente 109,Necochea,Buenos Aires,VIP,2026-05-19
110,Cliente 110,Necochea,Buenos Aires,VIP,2026-03-05
111,Cliente 111,Bahia Blanca,Buenos Aires,Nuevo,2025-04-17
112,Cliente 112,CABA,CABA,Nuevo,2026-06-23
113,Cliente 113,CABA,CABA,Nuevo,2026-08-20
114,Cliente 114,Bahia Blanca,Buenos Aires,Nuevo,2025-05-14
115,Cliente 115,La Plata,Buenos Aires,Nuevo,2024-09-08
116,Cliente 116,Pinamar,Buenos Aires,Recurrente,2024-10-14
117,Cliente 117,Pinamar,Buenos Aires,Nuevo,2026-03-17
118,Cliente 118,CABA,CABA,Nuevo,2026-01-12
119,Cliente 119,Mar del Plata,Buenos Aires,Recurrente,2024-07-30
120,Cliente 120,Tandil,Buenos Aires,VIP,2024-07-18
121,Cliente 121,La Plata,Buenos Aires,VIP,2026-07-02
