pedido_id,producto_id,cantidad,precio_unitario
1,7,2,19000
2,4,1,320000
3,6,1,28000
3,4,2,320000
3,2,2,149000
4,2,2,149000
5,6,2,28000
5,5,2,12000
6,2,2,149000
7,7,2,19000
8,1,2,89000
9,1,1,89000
9,7,1,19000
9,2,2,149000
10,1,2,89000
11,3,2,35000
12,2,1,149000
13,7,2,19000
13,7,1,19000
13,4,2,320000
14,7,2,19000
15,6,2,28000
15,3,1,35000
15,5,1,12000
16,5,2,12000
17,5,1,12000
18,1,1,89000
19,4,1,320000
20,3,2,35000
21,6,2,28000
22,6,2,28000
23,2,2,149000
24,7,2,19000
24,6,2,28000
25,3,1,35000
25,7,1,19000
26,6,1,28000
26,3,1,35000
27,1,2,89000
28,3,1,35000
28,6,2,28000
29,3,2,35000
29,5,1,12000
30,7,1,19000
30,1,2,89000
31,1,2,89000
32,3,1,35000
33,2,2,149000
33,4,2,320000
34,7,1,19000
34,7,2,19000
35,6,1,28000
35,7,1,19000
36,7,2,19000
36,7,2,19000
37,7,1,19000
37,4,2,320000
38,6,1,28000
39,3,1,35000
39,5,2,12000
39,3,2,35000
40,5,2,12000
41,2,1,149000
41,3,1,35000
41,5,2,12000
42,2,1,149000
43,1,2,89000
44,1,1,89000
44,4,2,320000
44,2,2,149000
45,3,2,35000
46,2,1,149000
46,4,2,320000
47,5,2,12000
47,6,1,28000
48,2,1,149000
48,1,1,89000
48,1,2,89000
49,1,1,89000
50,4,2,320000
51,5,2,12000
52,4,2,320000
52,7,2,19000
53,5,2,12000
54,5,1,12000
55,5,1,12000
56,6,2,28000
57,5,1,12000
58,1,1,89000
58,1,2,89000
59,2,2,149000
60,7,2,19000
61,4,1,320000
61,4,1,320000
62,3,2,35000
62,1,2,89000
62,5,1,12000
63,4,1,320000
63,5,1,12000
63,5,1,12000
64,3,1,35000
65,7,1,19000
65,4,2,320000
65,4,2,320000
66,6,2,28000
67,2,2,149000
68,3,2,35000
68,1,1,89000
68,7,2,19000
69,6,1,28000
70,7,1,19000
70,1,1,89000
71,7,2,19000
71,5,1,12000
71,6,1,28000
72,1,1,89000
73,7,1,19000
73,5,2,12000
73,5,1,12000
74,2,2,149000
75,3,1,35000
75,5,1,12000
76,6,2,28000
77,6,2,28000
78,7,2,19000
78,5,1,12000
78,3,2,35000
79,1,1,89000
79,6,1,28000
79,3,1,35000
80,7,1,19000
81,3,2,35000
81,7,1,19000
81,2,1,149000
82,6,1,28000
82,1,2,89000
82,2,1,149000
83,1,1,89000
83,5,1,12000
84,1,1,89000
85,6,1,28000
85,7,2,19000
86,6,2,28000
87,1,2,89000
87,7,2,19000
88,7,2,19000
89,1,2,89000
90,6,2,28000
91,6,2,28000
91,7,1,19000
92,4,2,320000
92,3,1,35000
93,7,1,19000
94,5,1,12000
94,6,2,28000
94,5,2,12000
95,2,1,149000
96,6,1,28000
97,1,2,89000
98,7,1,19000
98,1,1,89000
98,7,2,19000
99,2,1,149000
99,7,1,19000
99,7,2,19000
100,4,1,320000
101,4,1,320000
102,2,2,149000
102,6,2,28000
102,3,2,35000
103,3,2,35000
104,5,2,12000
105,7,2,19000
106,2,2,149000
106,3,1,35000
106,2,1,149000
107,5,1,12000
107,6,1,28000
108,2,2,149000
109,4,2,320000
109,3,1,35000
110,5,1,12000
110,6,1,28000
110,1,1,89000
111,2,2,149000
111,1,2,89000
111,5,2,12000
112,4,2,320000
112,2,2,149000
113,1,2,89000
114,2,1,149000
114,4,1,320000
114,5,1,12000
115,4,1,320000
116,7,1,19000
116,1,2,89000
116,2,1,149000
117,7,2,19000
118,3,2,35000
118,4,1,320000
118,2,2,149000
119,7,2,19000
119,2,1,149000
119,3,1,35000
120,1,2,89000
121,2,1,149000
121,3,2,35000
122,6,1,28000
123,2,1,149000
124,6,1,28000
125,7,2,19000
126,4,2,320000
127,6,1,28000
127,4,1,320000
128,5,1,12000
129,1,2,89000
130,3,2,35000
131,5,1,12000
131,6,2,28000
132,1,1,89000
132,1,2,89000
133,5,2,12000
133,6,1,28000
134,7,2,19000
135,3,2,35000
136,3,2,35000
137,2,1,149000
138,1,2,89000
138,4,2,320000
139,5,2,12000
140,7,2,19000
140,3,2,35000
141,7,2,19000
