pedido_id,cliente_id,fecha,estado,canal,monto_total
1,488,2026-08-30,Cancelado,Instagram,110617
2,168,2026-07-01,En Proceso,Web,116048
3,389,2026-07-28,En Proceso,Instagram,394058
4,57,2026-06-05,Despachado,Web,346655
5,479,2026-08-30,Entregado,Instagram,51864
6,84,2026-06-15,Cancelado,Marketplace,358431
7,98,2026-07-05,Cancelado,Tienda MDP,148132
8,227,2026-06-05,Entregado,Web,284746
9,112,2026-08-03,En Proceso,Tienda MDP,381989
10,85,2026-08-05,Despachado,Tienda MDP,79274
11,217,2026-06-16,Despachado,Web,365088
12,381,2026-07-17,Entregado,Tienda MDP,255511
13,300,2026-08-10,Cancelado,Tienda MDP,149590
14,115,2026-07-04,Cancelado,Web,158336
15,393,2026-08-21,En Proceso,Web,145963
16,121,2026-06-03,En Proceso,Marketplace,209220
17,497,2026-06-17,Cancelado,Marketplace,26397
18,412,2026-06-11,En Proceso,Web,370520
19,355,2026-08-08,Despachado,Tienda MDP,211800
20,436,2026-07-15,Despachado,Tienda MDP,310349
21,224,2026-08-04,Entregado,Web,47912
22,429,2026-06-16,Entregado,Instagram,223865
23,101,2026-08-08,Entregado,Tienda MDP,200914
24,373,2026-06-22,Cancelado,Tienda MDP,345655
25,446,2026-08-16,En Proceso,Marketplace,52013
26,478,2026-07-30,Entregado,Web,162908
27,436,2026-08-06,Entregado,Marketplace,234478
28,341,2026-08-27,Despachado,Marketplace,83394
29,65,2026-08-01,Cancelado,Marketplace,298563
30,380,2026-08-13,En Proceso,Instagram,350721
31,330,2026-08-15,En Proceso,Tienda MDP,123044
32,399,2026-07-01,Despachado,Marketplace,56722
33,48,2026-08-02,Cancelado,Instagram,226158
34,121,2026-08-31,Despachado,Marketplace,188000
35,275,2026-08-10,En Proceso,Web,399346
36,271,2026-06-16,Despachado,Tienda MDP,91770
37,246,2026-07-27,Cancelado,Instagram,397906
38,491,2026-06-18,En Proceso,Tienda MDP,148962
39,44,2026-06-15,En Proceso,Marketplace,90773
40,162,2026-08-29,Despachado,Marketplace,60415
41,127,2026-08-14,Entregado,Instagram,213486
42,218,2026-08-22,Entregado,Marketplace,136120
43,151,2026-08-01,Cancelado,Instagram,56372
44,108,2026-06-30,Cancelado,Marketplace,87908
45,161,2026-06-26,En Proceso,Web,230661
46,183,2026-07-03,Despachado,Instagram,102263
47,4,2026-07-10,Entregado,Tienda MDP,248668
48,224,2026-06-24,En Proceso,Marketplace,175978
49,395,2026-06-10,Cancelado,Instagram,137293
50,1,2026-06-08,En Proceso,Marketplace,93665
51,449,2026-07-27,Entregado,Tienda MDP,260026
